chr	start	end	name	m-L5-s1_S1_dupsRemoved_host.bam	m-L5-s2_S2_dupsRemoved_host.bam	m-L5-t1_S3_dupsRemoved_host.bam	m-L5-t2_S4_dupsRemoved_host.bam	m-N12-s1_S5_dupsRemoved_host.bam	m-N12-s2_S6_dupsRemoved_host.bam	m-N12-t1_S7_dupsRemoved_host.bam	m-N12-t2_S8_dupsRemoved_host.bam	ub-L5-s1_S9_dupsRemoved_host.bam	ub-L5-s2_S10_dupsRemoved_host.bam	ub-L5-t1_S11_dupsRemoved_host.bam	ub-L5-t2_S12_dupsRemoved_host.bam	ub-N12-s1_S13_dupsRemoved_host.bam	ub-N12-s2_S14_dupsRemoved_host.bam	ub-N12-t1_S15_dupsRemoved_host.bam	ub-N12-t2_S16_dupsRemoved_host.bam
chr1	37100000	37200000	chr1_37100000_37200000	3221	2028	3260	2722	3347	3876	3158	4567	5764	6713	7765	5663	9447	6584	7327	5517
chr1	37200000	37300000	chr1_37200000_37300000	4717	3175	4666	4050	3963	4741	4017	5792	7458	8891	10209	7156	11103	7934	8361	6492
chr1	37300000	37400000	chr1_37300000_37400000	5249	3880	4974	4722	4107	4565	4202	5511	5527	6628	6627	4598	8251	5993	4674	3654
chr1	37400000	37500000	chr1_37400000_37500000	4238	3037	4181	3573	3407	3784	3124	4454	6119	7204	7829	5510	8601	6139	6260	4870
chr1	37500000	37600000	chr1_37500000_37600000	5203	4003	4842	4584	4147	4657	3940	5210	5879	6985	7655	5481	9014	6359	5801	4675
chr1	37600000	37700000	chr1_37600000_37700000	3733	2804	3511	3335	2857	3297	2955	3933	3929	4797	5189	3874	6225	4459	4263	3314
chr1	37700000	37800000	chr1_37700000_37800000	3816	2476	3611	3080	3417	4001	3064	4449	6021	7311	7838	5622	9514	6639	7204	5483
chr1	37800000	37900000	chr1_37800000_37900000	3853	2568	3735	3179	3443	4161	3090	4496	6315	7428	8270	5960	9494	6775	7245	5690
chr1	37900000	38000000	chr1_37900000_38000000	6375	5281	5837	5609	4940	5518	4683	6117	5273	6516	7023	5030	8287	6176	5370	3935
chr1	38000000	38100000	chr1_38000000_38100000	4272	3024	4019	3732	3820	4387	3644	4892	5696	6777	7538	5409	8869	6285	6457	4916
chr1	38100000	38200000	chr1_38100000_38200000	3467	2564	3253	2991	2966	3575	2781	3865	4449	5294	5920	4202	7586	5387	5472	4282
chr1	38200000	38300000	chr1_38200000_38300000	1529	1148	1505	1339	1703	2126	1625	2342	2128	2581	2863	1971	4609	3278	3458	2641
chr1	38300000	38400000	chr1_38300000_38400000	3821	2883	3653	3391	3421	3805	3233	4182	4420	5254	5744	4040	7270	5105	5171	3861
chr1	38400000	38500000	chr1_38400000_38500000	3651	2849	3444	3361	3094	3623	2902	3846	5280	6216	7225	4951	7752	5666	5680	4517
chr1	38500000	38600000	chr1_38500000_38600000	3964	2769	3643	3314	5180	6021	4880	6617	5695	6839	7464	5348	12723	8906	8936	6891
chr1	38600000	38700000	chr1_38600000_38700000	3717	3003	3638	3357	4424	5039	4223	5614	4244	5119	5675	4137	9584	6902	7216	5720
chr1	38700000	38800000	chr1_38700000_38800000	6034	4892	5464	5318	4662	5254	4436	6010	5669	6924	7159	5319	9091	6473	6057	4713
chr1	38800000	38900000	chr1_38800000_38900000	3556	2275	3570	2975	3238	3828	2760	4114	6512	7670	8522	5876	9858	7010	7044	5554
chr1	38900000	39000000	chr1_38900000_39000000	4351	3263	4000	3807	3479	4018	3125	4191	5336	6263	7130	4981	8471	5946	5890	4485
chr1	39000000	39100000	chr1_39000000_39100000	3001	1694	2905	2406	2877	3504	2502	3563	6034	6914	7882	5463	9460	6530	7090	5407
chr1	39100000	39200000	chr1_39100000_39200000	3789	2562	3675	3174	3463	3950	3197	4221	5778	6959	7631	5263	9171	6352	6513	5175
chr1	39200000	39300000	chr1_39200000_39300000	3858	3174	3464	3335	2813	3301	2687	3532	3583	4321	4681	3345	5788	4101	4164	3157
chr1	39300000	39361238	chr1_39300000_39361238	3366	2573	3221	2805	2726	3221	2605	3626	4102	4830	5193	3681	6318	4424	4500	3482
