# Program:featureCounts v1.6.3; Command:"/work/02260/grovesd/stampede2/subread-1.6.3-source/bin/featureCounts" "-a" "/work/02260/grovesd/lonestar/Amil_Zach_Fullers_v2.00/Amil.coding.gff3" "-t" "gene" "-g" "ID" "-o" "rnaseq_gene_counts_DEDUPPED.txt" "-T" "64" "--primary" "L5-S1_S216_dupsRemoved.bam" "L5-S2_S217_dupsRemoved.bam" "L5-S3_S218_dupsRemoved.bam" "L5-T1_S222_dupsRemoved.bam" "L5-T2_S223_dupsRemoved.bam" "L5-T3_S224_dupsRemoved.bam" "N12-S1_S219_dupsRemoved.bam" "N12-S2_S220_dupsRemoved.bam" "N12-S3_S221_dupsRemoved.bam" "N12-T1_S225_dupsRemoved.bam" "N12-T2_S226_dupsRemoved.bam" "N12-T3_S227_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	L5-S1_S216_dupsRemoved.bam	L5-S2_S217_dupsRemoved.bam	L5-S3_S218_dupsRemoved.bam	L5-T1_S222_dupsRemoved.bam	L5-T2_S223_dupsRemoved.bam	L5-T3_S224_dupsRemoved.bam	N12-S1_S219_dupsRemoved.bam	N12-S2_S220_dupsRemoved.bam	N12-S3_S221_dupsRemoved.bam	N12-T1_S225_dupsRemoved.bam	N12-T2_S226_dupsRemoved.bam	N12-T3_S227_dupsRemoved.bam
Amillepora05096	chr2	24880779	24889784	-	9006	54	35	45	49	50	62	20	29	14	24	39	29
Amillepora05099	chr2	24930475	24933813	-	3339	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora05095	chr2	24867854	24879393	-	11540	59	46	34	54	65	68	72	76	52	66	87	60
Amillepora05102	chr2	24936113	24936667	-	555	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora05101	chr2	24935738	24936070	-	333	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora05100	chr2	24934053	24934631	-	579	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora05109	chr2	25042844	25047402	+	4559	18	14	15	13	15	19	9	10	6	7	11	11
Amillepora05110	chr2	25049965	25052448	+	2484	1	0	1	0	4	0	0	1	0	3	2	3
Amillepora05111	chr2	25058766	25064318	+	5553	1	2	1	3	2	1	6	6	5	2	2	4
Amillepora05107	chr2	25006767	25027216	-	20450	120	85	100	129	133	159	100	107	106	130	130	123
Amillepora05104	chr2	24994532	25001252	-	6721	16	9	11	12	11	23	31	35	33	40	58	44
Amillepora05108	chr2	25029998	25042702	-	12705	138	86	128	148	144	169	161	186	144	151	173	158
Amillepora05116	chr2	25157897	25168302	-	10406	15	8	6	13	14	14	15	17	11	15	20	14
Amillepora05115	chr2	25105824	25154250	-	48427	204	139	147	243	239	197	180	197	167	227	273	259
Amillepora05112	chr2	25059708	25088045	-	28338	141	104	112	159	143	186	162	184	147	170	164	166
Amillepora05113	chr2	25095005	25097895	-	2891	14	5	14	26	15	6	13	19	14	20	17	21
Amillepora05114	chr2	25098020	25105179	-	7160	8	7	6	7	16	9	7	11	5	6	7	2
Amillepora05125	chr2	25205106	25207830	+	2725	2	6	3	2	3	3	3	4	0	2	2	4
Amillepora05127	chr2	25218486	25222314	+	3829	0	2	1	3	3	2	1	1	2	1	4	3
Amillepora05121	chr2	25192146	25195450	+	3305	34	18	19	18	28	28	23	13	17	16	16	11
Amillepora05118	chr2	25179632	25179904	+	273	0	0	0	0	0	0	0	0	0	2	0	1
Amillepora05119	chr2	25187063	25189966	+	2904	0	1	0	0	1	0	0	1	0	1	0	0
Amillepora05117	chr2	25173088	25176486	+	3399	0	0	1	0	1	1	0	0	0	1	2	1
Amillepora05123	chr2	25197289	25200614	+	3326	6	1	5	6	3	10	3	2	1	2	1	4
Amillepora05133	chr2	25269447	25278319	-	8873	28	29	29	24	36	35	35	33	32	39	29	46
Amillepora05126	chr2	25208123	25212448	-	4326	47	20	24	18	27	37	15	26	18	19	20	19
Amillepora05130	chr2	25240337	25250959	-	10623	12	7	14	14	15	12	12	14	18	18	20	19
Amillepora05128	chr2	25224125	25234444	-	10320	6	3	5	5	3	3	2	6	1	4	0	3
Amillepora05131	chr2	25254393	25259927	-	5535	2	7	18	11	17	17	7	10	3	9	10	7
Amillepora05147	chr2	25380029	25385062	+	5034	7	7	3	4	6	9	7	4	6	5	7	10
Amillepora05134	chr2	25288032	25295949	+	7918	2	0	1	0	4	2	1	1	1	2	1	2
Amillepora05140	chr2	25337520	25339242	+	1723	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora05137	chr2	25309623	25311816	+	2194	14	6	14	9	13	12	7	11	8	4	11	11
Amillepora05138	chr2	25325447	25327582	+	2136	0	1	3	4	5	2	0	1	0	0	1	1
Amillepora05146	chr2	25372767	25376683	+	3917	64	48	43	50	62	83	44	48	31	41	34	50
Amillepora05142	chr2	25345509	25362065	-	16557	79	80	106	99	105	118	91	116	76	92	94	115
Amillepora05145	chr2	25364499	25368769	-	4271	44	37	28	41	46	44	43	56	46	36	39	50
Amillepora05139	chr2	25328632	25341852	-	13221	99	84	79	116	97	100	95	109	108	87	123	110
Amillepora05136	chr2	25302108	25309132	-	7025	7	2	3	2	5	7	4	6	3	8	10	4
Amillepora05135	chr2	25297819	25301298	-	3480	8	9	12	9	8	24	2	4	2	1	6	7
Amillepora05141	chr2	25342776	25344692	-	1917	3	0	3	2	0	3	1	0	1	0	2	2
Amillepora05155	chr2	25434743	25438571	+	3829	132	91	99	115	119	159	88	99	66	80	72	81
Amillepora05157	chr2	25440742	25453743	+	13002	40	13	18	41	32	22	35	28	27	28	25	29
Amillepora05154	chr2	25423520	25428888	+	5369	14	7	7	15	15	17	5	7	4	3	2	8
Amillepora05151	chr2	25406251	25417821	+	11571	60	33	43	40	34	45	63	58	47	42	48	54
Amillepora05148	chr2	25390112	25392798	+	2687	0	0	0	1	1	1	1	1	1	0	1	0
Amillepora05150	chr2	25403018	25403859	+	842	0	1	0	0	0	0	0	0	0	1	0	1
Amillepora05160	chr2	25471848	25475665	-	3818	116	83	108	94	121	151	74	81	75	73	81	92
Amillepora05158	chr2	25457610	25469678	-	12069	24	20	18	36	27	16	27	31	21	21	27	30
Amillepora05161	chr2	25481284	25485689	-	4406	0	1	0	0	0	2	0	0	0	0	2	1
Amillepora05153	chr2	25419138	25423783	-	4646	3	4	2	5	9	5	1	7	1	1	4	3
Amillepora05169	chr2	25532814	25539835	+	7022	37	14	22	34	28	34	35	30	37	30	40	36
Amillepora05171	chr2	25542006	25557501	+	15496	146	85	110	125	141	162	119	127	88	123	119	131
Amillepora05162	chr2	25481530	25491332	+	9803	25	19	23	24	15	30	26	29	19	23	21	14
Amillepora05174	chr2	25560741	25574390	+	13650	73	48	54	61	77	57	76	57	75	64	67	89
Amillepora05173	chr2	25557959	25558927	+	969	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora05167	chr2	25520366	25525331	-	4966	4	4	5	7	7	9	6	7	5	4	10	10
Amillepora05175	chr2	25563383	25565118	-	1736	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora05166	chr2	25512057	25515450	-	3394	1	2	1	2	1	5	1	0	1	1	0	1
Amillepora05168	chr2	25528698	25532628	-	3931	72	56	62	66	47	96	62	59	54	50	53	66
Amillepora05163	chr2	25491587	25502868	-	11282	48	33	43	47	47	68	54	53	44	55	60	67
Amillepora05177	chr2	25576083	25578610	-	2528	0	1	3	2	2	1	1	1	1	0	1	0
Amillepora05165	chr2	25506802	25511094	-	4293	1	0	0	0	1	2	2	2	1	3	3	3
Amillepora05183	chr2	25646201	25653069	+	6869	77	62	63	67	70	59	65	66	70	67	81	69
Amillepora05182	chr2	25628349	25637236	+	8888	36	25	27	30	34	40	42	51	35	40	49	49
Amillepora05184	chr2	25661497	25671752	+	10256	23	21	19	22	37	40	21	22	26	31	45	34
Amillepora05179	chr2	25590947	25597943	+	6997	2	4	8	5	9	10	5	7	5	4	6	6
Amillepora05180	chr2	25598755	25602216	+	3462	3	1	2	1	4	7	2	1	2	1	3	5
Amillepora05178	chr2	25586727	25590857	-	4131	13	10	9	22	17	19	12	14	10	8	8	9
Amillepora05181	chr2	25604055	25618873	-	14819	1	1	2	3	5	0	0	4	0	5	3	1
Amillepora05197	chr2	25737769	25748398	+	10630	8	5	4	11	13	16	11	12	10	16	24	21
Amillepora05188	chr2	25700529	25704087	+	3559	43	39	40	47	40	38	41	49	44	43	46	41
Amillepora05185	chr2	25677816	25687851	+	10036	4	5	0	0	1	5	3	1	0	4	2	3
Amillepora05190	chr2	25705504	25708179	-	2676	13	5	5	11	8	8	4	5	4	4	6	4
Amillepora05196	chr2	25729007	25733509	-	4503	5	7	3	6	2	7	7	5	2	4	4	7
Amillepora05194	chr2	25718454	25727442	-	8989	31	18	24	21	24	37	28	34	17	25	28	25
Amillepora05186	chr2	25690491	25691789	-	1299	2	0	0	0	2	2	1	2	0	2	0	1
Amillepora05192	chr2	25713043	25716614	-	3572	12	8	10	10	9	21	3	1	3	7	3	7
Amillepora05187	chr2	25693034	25693992	-	959	0	0	1	0	0	2	0	0	0	0	0	0
Amillepora05200	chr2	25815234	25839491	+	24258	257	204	226	278	275	307	223	228	203	225	217	233
Amillepora05198	chr2	25752040	25809748	+	57709	242	161	183	275	276	215	244	261	233	276	315	320
Amillepora05199	chr2	25810005	25815189	-	5185	0	1	1	4	5	2	1	3	1	3	1	2
Amillepora05202	chr2	25841303	25843134	-	1832	1	0	1	3	1	1	2	2	1	0	1	1
Amillepora05207	chr2	25916165	25920959	+	4795	10	7	5	6	11	6	7	6	7	1	5	2
Amillepora05203	chr2	25858217	25866029	+	7813	56	41	42	78	84	51	86	75	54	72	76	69
Amillepora05205	chr2	25879462	25900947	+	21486	103	63	66	95	117	129	66	79	66	79	108	73
Amillepora05206	chr2	25908021	25913582	+	5562	14	14	7	16	17	15	15	11	12	15	10	14
Amillepora05210	chr2	25947908	25963035	-	15128	47	29	27	45	48	64	20	29	15	25	26	20
Amillepora05204	chr2	25870807	25876205	-	5399	65	39	50	71	74	66	71	74	54	62	50	58
Amillepora05208	chr2	25921913	25938570	-	16658	79	52	57	51	44	63	106	107	71	61	78	54
Amillepora05213	chr2	25972996	25976742	-	3747	24	18	16	24	22	35	16	22	20	12	11	13
Amillepora05212	chr2	25966303	25972773	-	6471	24	14	16	31	23	30	34	29	36	42	35	47
Amillepora05209	chr2	25940114	25941929	-	1816	10	2	4	2	3	3	6	13	9	1	3	3
Amillepora05214	chr2	25973207	25998866	+	25660	98	57	62	126	102	83	92	107	99	106	120	115
Amillepora05215	chr2	26005732	26011410	+	5679	3	1	0	0	3	4	1	3	1	2	2	1
Amillepora05221	chr2	26080211	26083154	+	2944	13	5	8	9	8	12	6	14	11	12	13	16
Amillepora05219	chr2	26042895	26050798	-	7904	5	2	5	1	2	6	1	2	2	3	1	1
Amillepora05216	chr2	26013455	26016235	-	2781	4	2	1	5	8	4	1	6	2	2	2	9
Amillepora05218	chr2	26033009	26035858	-	2850	12	11	11	11	12	22	11	13	16	15	10	23
Amillepora05220	chr2	26062181	26070098	-	7918	12	10	9	17	12	11	13	23	8	22	16	19
Amillepora05217	chr2	26024032	26025331	-	1300	0	0	0	0	0	1	0	0	0	0	0	0
Amillepora05227	chr2	26163533	26168885	+	5353	27	19	25	11	29	28	33	31	20	26	21	30
Amillepora05228	chr2	26172292	26184601	+	12310	104	69	90	95	110	140	90	110	72	102	91	89
Amillepora05225	chr2	26138700	26147273	-	8574	288	236	220	295	310	346	233	267	227	257	287	255
Amillepora05223	chr2	26118825	26124016	-	5192	106	86	93	100	89	132	95	90	61	87	83	70
Amillepora05222	chr2	26111468	26114717	-	3250	0	3	1	3	5	3	10	6	4	5	13	5
Amillepora05224	chr2	26125899	26133982	-	8084	194	135	185	210	215	248	234	231	212	223	230	214
Amillepora05226	chr2	26156005	26160632	-	4628	67	63	56	56	58	83	77	75	68	86	73	79
Amillepora05232	chr2	26244192	26254988	+	10797	5	2	2	5	1	10	3	10	10	8	13	8
Amillepora05229	chr2	26201385	26211154	+	9770	2	2	0	0	4	4	5	1	4	4	6	2
Amillepora05233	chr2	26255007	26270389	+	15383	7	4	2	12	6	11	11	11	9	10	14	10
Amillepora05230	chr2	26213045	26214302	+	1258	1	0	0	0	1	0	0	1	0	4	3	1
Amillepora05241	chr2	26323271	26332264	+	8994	4	1	4	7	6	13	2	5	1	7	10	3
Amillepora05236	chr2	26283763	26294471	+	10709	1	5	2	3	5	10	5	12	4	6	11	7
Amillepora05242	chr2	26347070	26348730	+	1661	0	0	1	1	0	2	0	0	0	2	1	0
Amillepora05250	chr2	26421201	26423950	+	2750	15	5	8	9	8	15	3	2	3	9	4	7
Amillepora05249	chr2	26395879	26409140	+	13262	43	35	37	41	46	42	36	44	31	38	37	35
Amillepora05243	chr2	26353577	26373046	+	19470	18	15	13	23	14	25	11	15	17	24	22	28
Amillepora05251	chr2	26433893	26443869	+	9977	1	2	3	3	3	6	4	4	4	7	4	8
Amillepora05248	chr2	26388270	26392381	+	4112	4	1	1	1	3	4	2	1	1	1	3	2
Amillepora05247	chr2	26374660	26375039	+	380	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora05269	chr2	26564549	26579231	+	14683	127	81	108	140	151	145	124	144	118	133	136	131
Amillepora05252	chr2	26488077	26496978	+	8902	8	10	4	9	7	9	8	11	7	9	11	8
Amillepora05270	chr2	26583210	26586058	+	2849	0	1	3	3	3	4	0	1	0	0	0	0
Amillepora05266	chr2	26541788	26549075	-	7288	56	38	45	57	66	77	62	73	47	70	52	41
Amillepora05267	chr2	26551045	26564375	-	13331	18	17	26	14	14	24	17	18	11	15	16	21
Amillepora05264	chr2	26521606	26540090	-	18485	347	266	312	380	361	383	274	316	281	326	297	328
Amillepora05263	chr2	26508311	26519974	-	11664	31	19	13	36	43	32	16	14	13	22	23	27
Amillepora05275	chr2	26644908	26651964	+	7057	33	20	26	20	40	37	7	16	14	16	15	12
Amillepora05279	chr2	26667556	26687582	+	20027	135	79	90	117	144	149	103	128	103	117	142	144
Amillepora05278	chr2	26661914	26665455	-	3542	23	15	11	27	10	17	2	3	2	5	3	0
Amillepora05277	chr2	26655924	26659976	-	4053	43	38	23	30	36	36	0	1	0	0	0	0
Amillepora05283	chr2	26684882	26685981	-	1100	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora05282	chr2	26683534	26683722	-	189	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora05271	chr2	26594658	26595961	+	1304	0	1	0	0	1	1	0	0	0	0	0	0
Amillepora05272	chr2	26603713	26604530	+	818	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora05284	chr2	26697159	26702795	+	5637	3	0	7	0	5	7	5	8	10	6	9	4
Amillepora05285	chr2	26742342	26745727	-	3386	21	16	27	25	34	31	50	38	30	39	40	36
Amillepora05286	chr2	26745836	26763191	+	17356	60	40	35	57	68	54	49	53	39	57	50	47
Amillepora05291	chr2	26814934	26819167	+	4234	1	3	1	5	1	4	1	4	4	3	7	7
Amillepora05292	chr2	26835598	26863023	+	27426	268	188	193	282	280	256	164	178	147	173	179	188
Amillepora05287	chr2	26768888	26795264	+	26377	85	57	52	83	101	83	50	75	60	79	94	80
Amillepora05290	chr2	26802856	26814596	+	11741	5	1	0	3	5	8	5	10	2	6	7	4
Amillepora05289	chr2	26799543	26802923	-	3381	13	7	15	18	15	19	8	15	6	7	8	6
Amillepora05293	chr2	26863937	26876453	-	12517	206	147	159	194	220	216	194	218	165	193	171	190
Amillepora05294	chr2	26876612	26879698	+	3087	2	1	1	1	5	1	3	2	3	1	4	3
Amillepora05300	chr2	27067908	27072848	+	4941	11	7	10	10	12	12	15	10	9	10	12	8
Amillepora05297	chr2	27037582	27044106	+	6525	24	18	23	36	33	29	26	25	25	28	36	27
Amillepora05298	chr2	27044002	27053171	-	9170	78	57	55	79	65	86	88	77	66	67	75	81
Amillepora05299	chr2	27055782	27066504	-	10723	44	24	34	47	41	63	51	53	36	57	65	36
Amillepora05301	chr2	27089927	27093582	+	3656	10	5	12	11	13	16	13	8	7	4	9	5
Amillepora05302	chr2	27095566	27109041	-	13476	122	111	96	108	141	137	121	139	127	140	135	120
Amillepora05303	chr2	27123597	27141063	-	17467	16	7	8	10	13	12	10	14	12	9	17	13
Amillepora05306	chr2	27159948	27171912	-	11965	8	5	8	9	8	5	15	20	14	22	20	15
Amillepora05304	chr2	27145515	27145910	-	396	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora05305	chr2	27151406	27157760	-	6355	8	6	6	7	11	10	3	3	7	2	2	4
Amillepora05308	chr2	27213432	27226519	+	13088	42	22	38	52	62	60	28	43	49	39	46	50
Amillepora05311	chr2	27250238	27256456	+	6219	249	187	202	257	295	306	143	176	154	151	148	176
Amillepora05309	chr2	27238666	27241073	+	2408	2	2	0	1	4	5	1	2	2	1	1	1
Amillepora05307	chr2	27188948	27217673	-	28726	41	29	20	39	45	78	17	27	26	27	37	33
Amillepora05318	chr2	27313621	27318159	+	4539	3	3	5	4	4	4	5	23	5	5	7	17
Amillepora05312	chr2	27260032	27264638	+	4607	29	20	18	21	29	23	16	12	10	21	17	20
Amillepora05319	chr2	27319634	27327260	+	7627	23	12	17	19	24	28	31	23	24	34	40	32
Amillepora05315	chr2	27282857	27299379	+	16523	45	23	28	45	61	77	28	30	26	29	46	22
Amillepora05317	chr2	27304908	27308376	+	3469	20	7	15	18	18	19	13	8	8	8	12	15
Amillepora05321	chr2	27366020	27381283	-	15264	54	26	44	54	59	65	34	36	23	45	37	40
Amillepora05320	chr2	27330465	27348287	-	17823	21	25	13	26	30	42	35	30	42	37	33	34
Amillepora05324	chr2	27396968	27409365	+	12398	129	87	109	124	125	171	116	128	95	124	122	123
Amillepora05325	chr2	27415233	27416738	+	1506	12	7	5	10	10	22	0	2	1	1	1	2
Amillepora05326	chr2	27428774	27433031	-	4258	160	90	126	125	104	163	179	160	140	170	157	148
Amillepora05322	chr2	27384743	27396912	-	12170	61	39	45	43	52	71	39	35	40	25	37	38
Amillepora05337	chr2	27549574	27558095	-	8522	5	2	3	3	6	8	7	4	0	2	3	3
Amillepora05332	chr2	27516852	27531495	-	14644	119	80	90	117	92	143	108	120	87	96	111	97
Amillepora05331	chr2	27468573	27499994	-	31422	24	24	21	24	53	53	15	42	28	31	50	41
Amillepora05327	chr2	27450993	27461789	-	10797	3	2	6	2	5	6	1	5	3	2	9	3
Amillepora05334	chr2	27532656	27546449	-	13794	22	30	21	33	44	46	26	31	28	27	35	34
Amillepora05339	chr2	27589824	27591750	+	1927	2	1	0	2	0	1	0	1	1	3	2	0
Amillepora05341	chr2	27617407	27629893	+	12487	34	21	30	39	44	27	34	33	20	26	25	22
Amillepora05338	chr2	27573979	27576167	+	2189	2	1	1	2	3	3	1	2	2	2	2	4
Amillepora05343	chr2	27643200	27652178	+	8979	314	233	255	274	340	393	265	296	235	234	231	243
Amillepora05340	chr2	27609253	27611230	+	1978	2	5	6	1	5	6	0	6	3	4	6	5
Amillepora05344	chr2	27661972	27670932	-	8961	21	11	15	25	25	37	15	15	15	29	28	15
Amillepora05342	chr2	27637437	27638393	-	957	1	1	0	0	1	0	0	1	0	1	0	0
Amillepora05345	chr2	27689956	27704937	+	14982	53	35	28	38	52	82	6	9	4	10	14	10
Amillepora05351	chr2	27772137	27780866	+	8730	60	44	33	48	49	70	61	59	47	75	71	64
Amillepora05346	chr2	27715780	27722528	+	6749	2	11	8	12	7	20	6	5	10	8	14	12
Amillepora05350	chr2	27767320	27770081	-	2762	29	9	24	32	23	36	28	22	12	25	28	25
Amillepora05349	chr2	27746380	27766671	-	20292	84	71	64	91	84	119	60	74	60	55	65	68
Amillepora05347	chr2	27732846	27742083	-	9238	31	19	25	28	27	30	25	21	16	21	34	19
Amillepora05363	chr2	27856163	27863135	+	6973	13	20	5	18	31	23	9	19	23	13	17	20
Amillepora05358	chr2	27816277	27821121	+	4845	10	10	12	13	16	28	6	10	6	6	13	9
Amillepora05352	chr2	27791188	27800414	+	9227	60	49	32	53	53	61	44	42	44	45	50	56
Amillepora05361	chr2	27842522	27850028	+	7507	10	12	12	15	19	20	19	19	12	14	13	15
Amillepora05360	chr2	27829660	27838223	-	8564	62	41	49	63	72	84	57	55	46	56	53	56
Amillepora05362	chr2	27851377	27855917	-	4541	76	63	65	76	81	88	90	70	70	70	69	87
Amillepora05357	chr2	27810300	27816226	-	5927	11	8	9	17	17	11	15	7	9	11	5	10
Amillepora05356	chr2	27808600	27809349	-	750	3	0	3	1	3	1	7	3	6	5	3	4
Amillepora05353	chr2	27799599	27799883	-	285	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora05365	chr2	27865167	27868891	-	3725	19	24	19	18	22	29	8	23	18	21	32	27
Amillepora05354	chr2	27800859	27801707	-	849	2	1	3	2	2	2	2	0	3	2	2	1
Amillepora05355	chr2	27806635	27808580	-	1946	0	3	1	1	0	6	0	1	5	3	2	4
Amillepora05369	chr2	27879421	27884593	+	5173	50	32	38	42	45	45	37	31	20	40	28	28
Amillepora05368	chr2	27874126	27877423	+	3298	8	1	4	5	5	5	2	6	2	5	3	4
Amillepora05371	chr2	27909516	27916268	+	6753	177	115	130	161	179	204	123	132	108	118	127	130
Amillepora05366	chr2	27869305	27870748	-	1444	70	47	63	55	55	68	74	68	55	57	46	57
Amillepora05376	chr2	27969888	27982543	-	12656	11	6	6	8	11	10	19	23	14	10	19	17
Amillepora05374	chr2	27925078	27933191	-	8114	63	34	51	53	46	75	74	68	55	52	48	54
Amillepora05373	chr2	27918755	27923658	-	4904	11	8	1	10	12	20	7	11	12	6	9	6
Amillepora05370	chr2	27885150	27909297	-	24148	86	70	62	78	87	108	74	86	78	83	95	93
Amillepora05367	chr2	27871425	27873656	-	2232	23	15	14	15	12	20	22	19	18	14	12	20
Amillepora05377	chr2	27991521	27997937	+	6417	132	90	123	121	124	174	193	190	139	165	176	166
Amillepora05381	chr2	28015260	28038244	+	22985	72	63	55	58	92	92	54	56	54	47	77	57
Amillepora05379	chr2	28007035	28015077	-	8043	63	47	65	72	89	77	86	82	59	79	67	101
Amillepora05378	chr2	27998813	28002149	-	3337	40	30	29	36	28	36	37	44	31	36	33	37
Amillepora05382	chr2	28046804	28063209	+	16406	109	101	105	135	156	172	131	109	110	150	116	138
Amillepora05385	chr2	28093960	28098260	-	4301	60	41	46	55	55	65	32	33	19	33	19	21
Amillepora05386	chr2	28121530	28135604	-	14075	49	32	34	43	35	56	19	22	14	23	19	20
Amillepora05387	chr2	28153497	28164704	-	11208	39	31	40	37	44	48	24	28	17	29	24	43
Amillepora05391	chr2	28196947	28201114	-	4168	35	24	28	35	36	29	33	37	27	32	37	30
Amillepora05396	chr2	28230345	28242415	-	12071	23	15	24	28	27	29	10	8	7	12	15	7
Amillepora05388	chr2	28170203	28180650	-	10448	55	40	37	43	61	50	43	44	26	49	36	34
Amillepora05393	chr2	28222665	28224330	-	1666	0	0	0	0	0	0	0	0	1	1	0	0
Amillepora05389	chr2	28187659	28196048	-	8390	55	45	37	43	63	48	37	36	24	42	46	31
Amillepora05401	chr2	28325536	28331904	+	6369	3	7	3	7	7	12	1	3	5	3	3	2
Amillepora05400	chr2	28321887	28324522	+	2636	0	1	0	4	3	0	0	1	0	4	2	0
Amillepora05398	chr2	28269749	28273415	-	3667	48	54	49	45	61	59	0	1	1	0	1	1
Amillepora05399	chr2	28297166	28314272	-	17107	33	28	26	34	21	40	27	35	29	33	33	26
Amillepora05404	chr2	28360952	28366987	-	6036	43	20	31	27	39	39	21	28	29	20	25	23
Amillepora05402	chr2	28336581	28349336	-	12756	24	20	22	30	31	30	21	23	16	23	22	24
Amillepora05403	chr2	28354559	28360326	-	5768	56	48	41	57	74	61	36	57	41	49	42	40
Amillepora05410	chr2	28430176	28431586	+	1411	0	0	0	0	0	0	0	0	2	0	1	0
Amillepora05411	chr2	28432520	28433960	+	1441	1	0	1	1	3	4	1	1	1	1	0	1
Amillepora05406	chr2	28385624	28393147	+	7524	83	60	70	87	77	98	83	106	89	85	83	102
Amillepora05405	chr2	28381153	28385210	-	4058	11	6	10	14	9	19	5	4	5	4	4	6
Amillepora05409	chr2	28415195	28418246	-	3052	1	0	0	0	1	0	0	1	2	4	2	1
Amillepora05407	chr2	28404063	28408920	-	4858	6	1	6	3	8	5	1	6	6	7	7	4
Amillepora05414	chr2	28484013	28505088	+	21076	44	30	25	38	32	55	43	39	36	32	40	34
Amillepora05418	chr2	28544618	28551543	+	6926	4	1	2	3	6	1	4	2	2	3	2	3
Amillepora05417	chr2	28527593	28536720	-	9128	112	78	91	103	109	135	80	77	63	80	79	82
Amillepora05412	chr2	28474586	28480464	-	5879	34	15	26	32	27	55	21	25	21	20	21	27
Amillepora05415	chr2	28507719	28512850	-	5132	13	7	9	12	13	12	11	12	9	9	6	15
Amillepora05416	chr2	28517144	28525726	-	8583	28	12	27	27	37	39	26	28	33	26	30	28
Amillepora05427	chr2	28673046	28677380	+	4335	21	7	16	17	18	11	25	15	13	19	15	21
Amillepora05424	chr2	28623903	28632571	+	8669	7	9	6	5	10	11	8	10	0	13	8	17
Amillepora05421	chr2	28592803	28599546	+	6744	7	3	1	2	3	5	0	5	4	3	7	6
Amillepora05426	chr2	28658302	28659771	-	1470	12	10	15	17	25	15	6	5	0	1	1	1
Amillepora05425	chr2	28638807	28652202	-	13396	239	160	187	229	237	185	236	238	205	232	250	245
Amillepora05434	chr2	28770507	28779638	+	9132	17	17	20	18	24	24	9	19	17	11	28	12
Amillepora05428	chr2	28693509	28703568	-	10060	40	36	24	34	45	58	25	40	27	35	30	28
Amillepora05431	chr2	28731240	28737221	-	5982	40	31	31	40	38	37	37	41	33	42	49	39
Amillepora05429	chr2	28721492	28723218	-	1727	1	1	0	1	0	4	0	2	1	1	1	2
Amillepora05430	chr2	28725224	28730593	-	5370	3	3	3	4	5	10	3	3	3	5	12	3
Amillepora05433	chr2	28744163	28744711	-	549	0	0	1	3	0	2	0	2	0	2	2	0
Amillepora05435	chr2	28793422	28807606	+	14185	64	42	46	61	75	80	77	62	69	80	86	80
Amillepora05437	chr2	28832380	28834155	+	1776	17	8	13	12	10	11	4	8	11	8	7	12
Amillepora05438	chr2	28835087	28838006	+	2920	76	48	38	48	67	89	53	59	51	49	58	57
Amillepora05436	chr2	28810332	28832291	-	21960	60	50	55	60	74	88	72	63	64	60	92	72
Amillepora05439	chr2	28840625	28855358	-	14734	124	65	89	99	120	124	91	80	92	92	102	93
Amillepora05446	chr2	28938447	28948759	-	10313	103	67	80	79	99	131	78	100	64	77	82	78
Amillepora05443	chr2	28899040	28916415	-	17376	121	77	91	117	122	152	84	111	71	99	105	86
Amillepora05440	chr2	28857953	28898370	-	40418	61	49	59	71	75	69	77	85	67	80	93	89
Amillepora05444	chr2	28917502	28921333	-	3832	4	9	3	19	13	25	9	17	8	14	25	9
Amillepora05447	chr2	28951520	28968438	-	16919	8	9	6	8	10	14	18	26	16	23	31	19
Amillepora05445	chr2	28926355	28928009	-	1655	0	0	0	0	1	0	0	0	0	0	0	0
Amillepora05452	chr2	29003726	29009940	+	6215	22	11	16	23	29	27	17	27	17	24	19	32
Amillepora05457	chr2	29051263	29061736	+	10474	62	41	58	63	80	45	60	45	36	45	47	70
Amillepora05453	chr2	29013610	29022926	+	9317	34	21	17	25	39	48	63	71	49	89	111	91
Amillepora05451	chr2	28992015	29001292	+	9278	17	13	14	24	19	20	20	18	17	20	16	30
Amillepora05454	chr2	29023211	29034965	+	11755	21	13	18	27	20	24	26	24	16	18	26	20
Amillepora05449	chr2	28973892	28979013	+	5122	7	4	2	3	3	5	7	6	2	7	7	8
Amillepora05450	chr2	28984569	28991278	+	6710	18	6	9	16	16	19	4	5	3	3	4	7
Amillepora05455	chr2	29036413	29039379	+	2967	4	6	2	2	1	3	1	2	3	4	2	6
