# Program:featureCounts v1.6.3; Command:"/work/02260/grovesd/stampede2/subread-1.6.3-source/bin/featureCounts" "-a" "/work/02260/grovesd/lonestar/Amil_Zach_Fullers_v2.00/Amil.coding.gff3" "-t" "gene" "-g" "ID" "-o" "rnaseq_gene_counts.txt" "-T" "64" "--primary" "L5-S1_S216_host.bam" "L5-S2_S217_host.bam" "L5-S3_S218_host.bam" "L5-T1_S222_host.bam" "L5-T2_S223_host.bam" "L5-T3_S224_host.bam" "N12-S1_S219_host.bam" "N12-S2_S220_host.bam" "N12-S3_S221_host.bam" "N12-T1_S225_host.bam" "N12-T2_S226_host.bam" "N12-T3_S227_host.bam" 
Geneid	Chr	Start	End	Strand	Length	L5-S1_S216_host.bam	L5-S2_S217_host.bam	L5-S3_S218_host.bam	L5-T1_S222_host.bam	L5-T2_S223_host.bam	L5-T3_S224_host.bam	N12-S1_S219_host.bam	N12-S2_S220_host.bam	N12-S3_S221_host.bam	N12-T1_S225_host.bam	N12-T2_S226_host.bam	N12-T3_S227_host.bam
Amillepora10668	chr4	26080946	26088725	-	7780	22	17	9	18	29	16	33	34	24	40	51	40
Amillepora10666	chr4	26059621	26073079	-	13459	93	61	44	82	91	105	55	36	46	66	66	62
Amillepora10664	chr4	26043336	26055175	-	11840	96	76	50	86	114	116	64	72	55	67	99	56
Amillepora10663	chr4	25992618	25994421	-	1804	5	2	3	2	2	3	4	15	7	7	7	13
Amillepora10674	chr4	26179708	26185899	+	6192	559	319	453	513	353	611	634	627	539	627	429	554
Amillepora10669	chr4	26104141	26106020	+	1880	3	2	1	7	1	3	1	1	5	2	1	2
Amillepora10673	chr4	26138394	26179177	+	40784	72	49	54	48	104	99	48	64	79	66	82	69
Amillepora10672	chr4	26132653	26137209	+	4557	0	0	2	0	1	9	1	2	2	2	3	1
Amillepora10671	chr4	26129113	26132336	+	3224	4	0	2	1	1	8	2	3	1	3	6	4
Amillepora10670	chr4	26111587	26129053	+	17467	28	28	22	29	28	32	16	22	26	30	40	18
Amillepora10679	chr4	26277781	26286771	+	8991	2	4	0	0	2	3	2	1	0	1	1	0
Amillepora10675	chr4	26219794	26223099	-	3306	0	1	0	0	3	2	0	3	2	5	3	6
Amillepora10677	chr4	26243019	26243696	-	678	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora10678	chr4	26243737	26248359	-	4623	0	0	0	0	1	0	3	2	1	4	0	4
Amillepora10684	chr4	26318437	26323339	+	4903	4	4	2	4	4	9	2	6	0	3	0	5
Amillepora10685	chr4	26350863	26352467	-	1605	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora10683	chr4	26306060	26306461	-	402	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora10682	chr4	26303202	26305085	-	1884	15	13	8	8	7	15	7	11	10	10	10	8
Amillepora10686	chr4	26352519	26352921	-	403	0	0	0	0	0	0	0	0	0	0	1	0
Amillepora10680	chr4	26286744	26288517	-	1774	63	61	71	60	39	102	82	83	61	45	72	53
Amillepora10681	chr4	26290112	26291607	-	1496	0	0	0	1	0	0	0	0	0	0	0	0
Amillepora10694	chr4	26455183	26459555	+	4373	30	26	17	42	46	34	15	10	18	19	15	24
Amillepora10693	chr4	26449626	26453451	+	3826	164	111	171	147	101	114	121	106	76	156	79	118
Amillepora10688	chr4	26402549	26408918	-	6370	4	1	1	4	4	6	7	7	2	2	6	1
Amillepora10692	chr4	26432982	26435832	-	2851	7	10	7	9	18	22	5	13	9	8	10	5
Amillepora10690	chr4	26422887	26425804	-	2918	13	11	9	9	23	26	3	7	6	2	8	3
Amillepora10695	chr4	26462659	26477265	-	14607	561	297	438	540	486	488	676	715	552	714	555	662
Amillepora10691	chr4	26427293	26429051	-	1759	0	0	0	0	1	0	0	0	0	1	0	0
Amillepora10689	chr4	26410419	26420333	-	9915	29	11	19	26	19	51	34	27	15	22	20	25
Amillepora10702	chr4	26514938	26537232	+	22295	122	68	84	128	130	156	44	70	62	44	59	60
Amillepora10696	chr4	26478894	26485225	+	6332	35	16	13	36	32	65	11	13	5	18	14	16
Amillepora10698	chr4	26492212	26500320	+	8109	536	332	378	510	450	559	263	228	141	317	226	232
Amillepora10697	chr4	26487493	26489093	+	1601	1	0	0	1	0	0	0	0	0	1	0	0
Amillepora10699	chr4	26501065	26505327	+	4263	38	33	19	45	48	76	26	31	26	39	70	41
Amillepora10704	chr4	26539099	26568163	-	29065	78	56	63	80	97	69	42	57	40	64	68	71
Amillepora10701	chr4	26510127	26520972	-	10846	17	15	15	21	37	45	20	33	33	52	53	46
Amillepora10700	chr4	26505692	26509712	-	4021	120	77	86	91	96	106	95	76	66	121	81	110
Amillepora10710	chr4	26633171	26643207	+	10037	39	21	33	28	33	54	33	32	26	42	27	26
Amillepora10706	chr4	26590598	26598471	+	7874	29	17	17	16	34	54	15	17	17	24	33	33
Amillepora10712	chr4	26667820	26689640	+	21821	1427	1142	1268	1188	1177	1432	1332	1823	1170	936	1272	1051
Amillepora10708	chr4	26609468	26629287	+	19820	9	7	11	16	20	21	20	28	19	19	18	33
Amillepora10705	chr4	26583136	26590167	-	7032	1	2	5	5	3	4	3	5	4	1	5	1
Amillepora10711	chr4	26656477	26657451	-	975	3	2	5	6	1	5	9	10	4	8	3	13
Amillepora10709	chr4	26614408	26633015	-	18608	403	185	264	313	287	362	342	302	210	303	207	255
Amillepora10707	chr4	26606805	26607742	+	938	0	0	1	0	0	0	1	0	0	1	1	0
Amillepora10713	chr4	26696430	26703785	+	7356	29	40	36	33	33	34	40	42	26	49	43	34
Amillepora10715	chr4	26724512	26749891	+	25380	443	285	409	504	498	461	342	362	441	357	410	509
Amillepora10714	chr4	26708441	26721126	+	12686	91	58	74	118	90	116	121	102	93	132	125	132
Amillepora10717	chr4	26757550	26779686	+	22137	585	325	420	534	521	597	394	459	380	453	441	509
Amillepora10716	chr4	26751245	26754646	-	3402	77	43	59	71	56	84	42	67	46	63	43	63
Amillepora10723	chr4	26842325	26853831	+	11507	19	8	8	12	19	25	14	11	8	11	17	16
Amillepora10724	chr4	26872072	26875745	+	3674	54	36	42	51	56	68	49	46	57	62	72	77
Amillepora10718	chr4	26790652	26797059	+	6408	758	451	571	801	673	637	647	688	420	687	587	609
Amillepora10720	chr4	26812255	26831838	+	19584	202	135	165	230	227	182	243	225	194	292	254	310
Amillepora10722	chr4	26833285	26841625	-	8341	8	8	9	11	16	18	19	27	21	16	11	24
Amillepora10719	chr4	26804121	26812828	-	8708	15	10	7	10	14	16	19	13	12	16	22	31
Amillepora10725	chr4	26882851	26892731	-	9881	7	6	10	9	14	18	3	4	7	5	10	10
Amillepora10728	chr4	26936522	26937409	-	888	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora10729	chr4	26957133	26960518	-	3386	0	2	0	0	0	0	0	1	1	0	1	1
Amillepora10727	chr4	26933568	26935435	-	1868	4	3	7	6	6	5	6	9	4	9	9	7
Amillepora10726	chr4	26898409	26911956	-	13548	14	11	14	30	13	19	9	11	4	13	16	3
Amillepora10735	chr4	27075009	27082278	+	7270	7	7	5	5	5	13	40	32	26	59	47	49
Amillepora10733	chr4	27056801	27057883	+	1083	0	0	0	0	0	0	0	2	0	1	0	0
Amillepora10732	chr4	27041733	27047998	-	6266	0	0	0	0	0	0	1	1	1	1	1	2
Amillepora10731	chr4	27024283	27025265	-	983	1	1	1	0	0	0	1	0	2	0	3	1
Amillepora10730	chr4	27021304	27022797	-	1494	0	1	2	2	0	2	1	1	0	1	1	0
Amillepora10734	chr4	27060152	27063451	-	3300	31	27	21	28	32	33	44	42	41	41	28	40
Amillepora10740	chr4	27133275	27143847	+	10573	196	97	146	215	183	238	49	64	52	89	66	72
Amillepora10743	chr4	27160652	27164797	+	4146	0	2	2	4	2	3	1	2	2	3	6	1
Amillepora10739	chr4	27117512	27121827	+	4316	6	5	1	5	9	7	1	6	3	2	8	5
Amillepora10741	chr4	27144263	27150250	-	5988	66	46	42	70	63	73	40	50	21	43	69	52
Amillepora10737	chr4	27107857	27117202	-	9346	27	14	18	25	34	26	15	13	8	9	21	15
Amillepora10744	chr4	27164803	27174973	-	10171	157	113	125	168	152	224	173	182	115	258	222	201
Amillepora10745	chr4	27175056	27190046	+	14991	233	134	181	228	232	271	212	224	167	220	187	204
Amillepora10754	chr4	27270938	27272072	+	1135	56	22	38	48	34	56	38	41	28	50	47	46
Amillepora10752	chr4	27254283	27255119	+	837	0	0	0	0	1	1	1	0	0	0	0	0
Amillepora10753	chr4	27265604	27269887	-	4284	150	76	95	137	102	157	82	79	52	86	62	66
Amillepora10751	chr4	27247484	27252014	-	4531	18	11	12	15	15	28	8	10	13	24	16	19
Amillepora10748	chr4	27213812	27237940	-	24129	58	52	56	71	77	94	47	64	61	58	80	95
Amillepora10750	chr4	27239072	27243395	-	4324	5	2	2	4	4	4	4	4	3	7	7	8
Amillepora10747	chr4	27193994	27195821	-	1828	26	23	24	28	37	19	18	15	18	21	23	26
Amillepora10755	chr4	27278070	27279761	+	1692	1	0	2	2	1	2	0	1	1	1	0	0
Amillepora10764	chr4	27353047	27358095	+	5049	1	2	4	2	9	4	1	8	1	10	2	6
Amillepora10756	chr4	27281394	27289181	+	7788	47	38	45	72	40	57	38	44	38	48	37	42
Amillepora10762	chr4	27337063	27338615	+	1553	0	0	0	0	0	0	0	0	0	1	1	0
Amillepora10757	chr4	27290195	27293555	+	3361	2	5	0	3	2	0	1	1	3	4	1	4
Amillepora10765	chr4	27361710	27363227	-	1518	1	0	0	0	1	1	1	0	0	0	0	0
Amillepora10766	chr4	27366949	27380567	-	13619	29	27	25	37	31	32	26	27	33	43	44	44
Amillepora10761	chr4	27330060	27333755	-	3696	4	6	2	0	4	4	1	6	3	3	5	3
Amillepora10760	chr4	27311593	27318957	-	7365	221	145	170	272	230	185	192	184	158	177	129	142
Amillepora10758	chr4	27295652	27297796	-	2145	77	32	66	70	61	57	48	38	30	56	32	36
Amillepora10763	chr4	27345286	27350516	-	5231	24	14	26	22	27	24	38	52	41	39	41	43
Amillepora10759	chr4	27299874	27302130	-	2257	92	50	63	118	91	128	76	63	43	54	41	67
Amillepora10770	chr4	27403523	27439293	+	35771	253	178	227	283	249	395	102	112	99	146	166	140
Amillepora10772	chr4	27440377	27448179	+	7803	13	3	10	7	11	9	4	5	5	2	6	6
Amillepora10767	chr4	27380663	27395490	+	14828	252	169	218	278	255	170	214	221	219	252	285	291
Amillepora10773	chr4	27450827	27465834	-	15008	95	50	77	105	76	103	91	109	78	108	89	111
Amillepora10774	chr4	27478604	27479176	-	573	0	0	0	0	0	0	1	1	3	0	2	1
Amillepora10777	chr4	27515636	27516844	+	1209	1	0	3	1	8	2	0	0	0	0	0	1
Amillepora10775	chr4	27484063	27493992	+	9930	53	29	49	54	70	63	64	77	60	65	91	90
Amillepora10776	chr4	27496417	27501944	-	5528	13	14	11	19	19	31	7	16	15	12	13	12
Amillepora10781	chr4	27655426	27670439	+	15014	2	4	7	8	7	10	1	0	4	2	1	2
Amillepora10782	chr4	27676514	27686730	-	10217	59	30	30	45	48	41	25	33	29	22	20	27
Amillepora10786	chr4	27744292	27745537	+	1246	0	3	1	1	3	1	1	0	1	0	1	1
Amillepora10783	chr4	27687057	27732499	+	45443	79	55	67	73	85	126	53	61	56	75	95	70
Amillepora10797	chr4	27867925	27875232	+	7308	94	47	58	108	110	118	97	100	63	96	86	99
Amillepora10790	chr4	27810083	27812418	+	2336	31	23	18	27	31	40	29	25	21	19	24	30
Amillepora10789	chr4	27791291	27801492	+	10202	15	2	13	11	10	16	45	44	28	33	35	42
Amillepora10793	chr4	27822418	27859705	+	37288	155	75	95	113	147	171	80	98	83	105	131	108
Amillepora10791	chr4	27814750	27815639	-	890	41	23	34	34	47	21	9	10	12	14	5	14
Amillepora10785	chr4	27735204	27736459	-	1256	0	1	2	0	0	0	3	1	0	2	1	1
Amillepora10796	chr4	27860051	27866757	-	6707	201	100	135	180	127	154	148	138	138	126	82	128
Amillepora10787	chr4	27748266	27790950	-	42685	2760	2541	2270	2251	2384	4999	2672	3516	1947	1670	2277	1951
Amillepora10792	chr4	27819160	27829549	-	10390	25	9	25	29	21	31	35	18	19	28	23	20
Amillepora10811	chr4	27979887	27981308	+	1422	1	0	0	0	1	0	0	0	1	1	0	0
Amillepora10804	chr4	27931382	27939326	+	7945	23	13	16	26	23	34	13	26	19	20	20	14
Amillepora10800	chr4	27904884	27905513	+	630	2	2	3	1	1	0	2	0	3	1	3	2
Amillepora10802	chr4	27924423	27927352	+	2930	359	210	278	307	317	401	297	343	286	314	301	334
Amillepora10805	chr4	27940994	27947968	+	6975	64	36	48	70	56	50	66	59	44	56	63	60
Amillepora10807	chr4	27948048	27949938	+	1891	11	9	13	4	3	4	7	3	1	5	1	4
Amillepora10808	chr4	27958452	27964296	+	5845	1	0	2	2	5	0	1	0	1	0	0	2
Amillepora10806	chr4	27947117	27947968	-	852	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora10801	chr4	27910148	27924345	-	14198	141	79	107	121	138	133	153	149	116	150	168	152
Amillepora10803	chr4	27928113	27931206	-	3094	8	8	5	9	13	8	4	7	9	11	6	2
Amillepora10799	chr4	27897740	27904654	-	6915	166	126	129	182	164	267	161	188	166	173	163	173
Amillepora10821	chr4	28054685	28057396	+	2712	6	5	4	3	6	8	2	4	1	1	7	2
Amillepora10822	chr4	28059323	28068960	+	9638	74	57	46	82	65	82	39	58	49	53	49	65
Amillepora10823	chr4	28069593	28070901	+	1309	28	17	9	18	32	24	14	21	15	11	20	14
Amillepora10819	chr4	28017517	28023790	+	6274	33	25	32	25	53	62	15	17	14	30	23	27
Amillepora10820	chr4	28025870	28053049	-	27180	70	45	45	44	89	80	36	43	46	32	41	35
Amillepora10817	chr4	27993496	27994599	-	1104	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora10816	chr4	27992625	27993378	-	754	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora10815	chr4	27991317	27992544	-	1228	3	0	0	3	2	2	0	0	0	0	0	0
Amillepora10812	chr4	27982855	27985234	-	2380	2	0	1	1	1	1	0	0	3	2	0	1
Amillepora10809	chr4	27965875	27977095	-	11221	3493	2190	2664	2997	2546	3684	2773	3079	2163	1837	2261	2006
Amillepora10813	chr4	27986896	27989779	-	2884	1521	1462	2031	1284	994	1206	1499	1677	1113	811	855	878
Amillepora10818	chr4	27994958	27996484	-	1527	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora10824	chr4	28075389	28082189	+	6801	35	38	17	37	47	62	11	25	20	27	54	32
Amillepora10829	chr4	28162883	28165370	+	2488	5	2	1	4	2	6	3	3	0	3	2	4
Amillepora10825	chr4	28105483	28108137	-	2655	35	42	23	22	45	53	17	29	25	15	28	14
Amillepora10828	chr4	28147145	28150788	+	3644	4	10	5	10	13	15	3	1	1	4	0	3
Amillepora10830	chr4	28168623	28173531	+	4909	5	2	3	3	4	8	1	0	4	1	5	3
Amillepora10832	chr4	28186583	28191401	+	4819	7	5	4	9	8	15	5	7	6	8	3	4
Amillepora10834	chr4	28208048	28228392	+	20345	194	133	129	172	165	198	163	149	107	157	169	153
Amillepora10836	chr4	28255480	28259705	-	4226	92	47	78	99	87	95	133	125	105	119	96	104
Amillepora10833	chr4	28198240	28207881	-	9642	102	62	64	70	97	108	81	76	56	70	86	73
Amillepora10837	chr4	28273660	28283830	-	10171	26	12	29	14	35	28	44	49	43	41	55	46
Amillepora10835	chr4	28251968	28253801	+	1834	3	1	1	0	1	0	0	0	1	0	0	1
Amillepora10847	chr4	28366523	28369365	+	2843	119	71	81	92	86	93	123	78	78	121	76	106
Amillepora10841	chr4	28330924	28344561	+	13638	84	48	59	76	61	66	68	62	57	77	73	70
Amillepora10839	chr4	28320708	28326752	+	6045	95	52	55	100	89	117	72	83	62	88	74	74
Amillepora10838	chr4	28312632	28314988	+	2357	1	2	1	4	3	4	0	0	3	1	0	0
Amillepora10840	chr4	28327662	28338279	-	10618	174	93	137	124	124	220	186	139	87	134	104	114
Amillepora10844	chr4	28355155	28356595	+	1441	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora10849	chr4	28380303	28390898	+	10596	62	38	50	60	55	68	61	70	45	34	39	50
Amillepora10854	chr4	28421938	28429237	+	7300	0	0	1	1	1	0	0	0	0	0	1	0
Amillepora10855	chr4	28446146	28450898	-	4753	16	9	9	20	20	15	3	4	3	4	0	2
Amillepora10853	chr4	28419936	28424180	-	4245	232	111	178	223	160	259	335	285	172	313	210	273
Amillepora10848	chr4	28369707	28379344	-	9638	88	82	67	80	73	97	83	103	79	94	118	111
Amillepora10852	chr4	28411906	28418273	-	6368	47	17	25	29	25	44	46	30	17	26	27	37
Amillepora10842	chr4	28344654	28358544	-	13891	72	54	69	71	90	79	80	93	101	113	108	109
Amillepora10845	chr4	28358910	28366459	-	7550	157	101	121	123	118	161	134	139	128	103	97	127
Amillepora10851	chr4	28401335	28405201	-	3867	29	11	15	26	32	31	8	4	3	7	4	3
Amillepora10850	chr4	28396599	28398129	-	1531	1	0	0	0	0	1	1	0	0	0	0	0
Amillepora10856	chr4	28459920	28464173	-	4254	2	1	1	1	0	2	1	3	4	1	2	2
Amillepora10862	chr4	28555787	28560138	-	4352	0	0	1	1	2	3	1	4	5	2	2	2
Amillepora10863	chr4	28570183	28572132	-	1950	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora10860	chr4	28497616	28500998	-	3383	1	2	3	2	6	7	7	4	8	3	2	3
Amillepora10861	chr4	28542833	28544040	-	1208	1	0	0	0	0	0	0	0	0	0	0	0
Amillepora10864	chr4	28579591	28580065	-	475	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora10865	chr4	28603134	28605767	+	2634	0	0	0	0	0	0	1	0	0	3	2	1
Amillepora10869	chr4	28672992	28675311	+	2320	0	1	0	0	1	0	4	2	0	2	3	1
Amillepora10866	chr4	28608729	28610812	+	2084	0	0	0	0	0	0	0	0	1	0	0	0
Amillepora10870	chr4	28704922	28706440	-	1519	0	0	0	0	0	1	0	0	0	0	0	0
Amillepora10871	chr4	28706515	28707716	-	1202	0	0	0	0	0	1	0	0	0	0	0	0
Amillepora10877	chr4	28773591	28775405	-	1815	0	0	1	3	1	1	1	1	0	1	2	2
Amillepora10873	chr4	28747391	28753136	-	5746	27	21	11	28	42	45	35	41	26	37	36	35
Amillepora10875	chr4	28754387	28755383	-	997	2	1	1	1	1	0	1	2	1	1	0	0
Amillepora10884	chr4	28849866	28854892	-	5027	32	19	17	38	34	46	13	15	19	21	14	19
Amillepora10883	chr4	28800631	28822465	-	21835	36	27	18	36	55	62	22	26	17	19	50	30
Amillepora10874	chr4	28753873	28754372	-	500	0	3	3	4	3	1	0	3	1	0	1	2
Amillepora10881	chr4	28789613	28792164	-	2552	2	0	1	1	2	2	0	1	0	1	0	0
Amillepora10882	chr4	28795144	28799475	-	4332	19	13	20	25	17	21	5	7	2	6	5	5
Amillepora10886	chr4	28858232	28869342	-	11111	14	16	9	25	26	21	13	12	16	23	11	23
Amillepora10879	chr4	28781331	28784944	-	3614	8	3	2	4	4	5	1	6	3	8	10	5
Amillepora10889	chr4	28927262	28928290	-	1029	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora10887	chr4	28923604	28924764	-	1161	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora10892	chr4	28998988	29004624	+	5637	0	0	0	0	0	1	1	0	0	0	1	0
Amillepora10899	chr4	29098353	29104214	+	5862	0	0	0	0	0	0	1	1	2	1	1	1
Amillepora10900	chr4	29134101	29134982	+	882	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora10903	chr4	29173761	29175878	+	2118	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora10895	chr4	29075998	29078115	+	2118	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora10904	chr4	29175935	29177344	+	1410	0	0	0	1	0	0	0	0	0	0	0	0
Amillepora10905	chr4	29179778	29181136	+	1359	0	0	1	1	0	1	0	0	1	0	1	0
Amillepora10898	chr4	29097854	29098321	+	468	0	0	0	0	0	0	0	0	0	0	1	0
Amillepora10897	chr4	29082021	29085203	+	3183	1	0	1	2	2	0	1	0	1	1	0	0
Amillepora10896	chr4	29078163	29081748	+	3586	2	1	0	1	2	3	2	1	3	1	4	0
Amillepora10906	chr4	29197171	29202975	+	5805	0	1	0	0	0	0	1	0	1	1	1	1
Amillepora10912	chr4	29280249	29284335	+	4087	145	100	138	135	97	131	109	96	68	106	94	77
Amillepora10907	chr4	29242722	29246450	+	3729	0	0	0	0	0	0	0	1	0	0	0	1
Amillepora10913	chr4	29285204	29291074	-	5871	260	172	160	244	240	281	192	206	203	246	252	237
Amillepora10914	chr4	29296575	29316526	-	19952	58	46	50	61	62	63	30	28	20	37	44	48
Amillepora10909	chr4	29259558	29275056	-	15499	54	47	43	70	64	112	43	70	47	73	71	84
Amillepora10908	chr4	29250615	29256278	-	5664	33	22	24	23	19	35	30	26	21	28	18	23
Amillepora06146	chr5	22927	32716	-	9790	257	151	191	216	187	220	225	211	200	231	179	237
Amillepora06150	chr5	51273	52337	-	1065	16	16	20	12	14	9	13	11	21	24	24	18
Amillepora06148	chr5	41410	47085	-	5676	34	24	31	27	25	16	22	25	13	28	22	42
Amillepora06154	chr5	77492	84063	-	6572	26	11	20	23	13	26	18	22	15	28	16	33
Amillepora06151	chr5	53623	54604	-	982	2	1	0	0	1	0	0	0	0	1	0	0
Amillepora06160	chr5	128394	135395	+	7002	44	26	35	37	31	42	34	39	23	38	41	37
Amillepora06162	chr5	138851	157604	+	18754	86	62	92	95	108	66	94	83	83	87	101	84
Amillepora06167	chr5	168567	178904	+	10338	25	25	15	24	16	26	18	20	20	9	27	20
Amillepora06147	chr5	38447	40331	+	1885	3	4	4	3	2	4	2	3	1	2	1	6
Amillepora06155	chr5	83435	95087	+	11653	45	26	24	57	55	48	36	30	27	32	34	50
Amillepora06166	chr5	165191	167473	+	2283	0	2	3	2	1	0	5	9	5	2	2	1
Amillepora06158	chr5	112888	114918	+	2031	6	2	7	5	7	9	8	5	2	3	0	4
Amillepora06152	chr5	57919	65431	+	7513	5	5	7	12	10	10	4	11	5	4	9	4
Amillepora06149	chr5	47226	49114	+	1889	28	27	19	43	39	53	39	20	26	44	51	47
Amillepora06153	chr5	67064	79129	+	12066	20	18	14	21	43	17	13	21	22	12	20	33
Amillepora06165	chr5	157816	160110	-	2295	23	18	27	23	26	34	27	12	18	22	12	18
Amillepora06169	chr5	180098	188511	-	8414	1966	1733	1947	1642	1619	2636	2149	2633	1616	1212	1362	1348
Amillepora06161	chr5	134622	138757	-	4136	390	234	366	388	320	479	553	481	400	564	387	518
Amillepora06159	chr5	123774	128335	-	4562	21	10	11	17	16	11	8	14	17	18	19	7
Amillepora06157	chr5	99962	112688	-	12727	85	42	37	69	78	73	80	66	50	47	57	71
Amillepora06182	chr5	271105	277113	+	6009	2	2	0	0	1	2	3	1	0	0	1	2
Amillepora06170	chr5	193139	198784	+	5646	1	0	0	0	0	1	0	0	0	0	0	0
Amillepora06174	chr5	219778	221152	+	1375	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora06178	chr5	248732	252965	+	4234	142	60	105	129	84	108	205	199	121	177	118	172
Amillepora06175	chr5	232273	236810	+	4538	13	5	11	10	13	8	17	7	10	17	9	16
Amillepora06179	chr5	253658	260681	+	7024	53	23	35	55	40	46	50	44	28	44	37	36
Amillepora06172	chr5	201007	206303	-	5297	140	67	97	89	97	152	90	92	72	72	85	77
Amillepora06181	chr5	261454	270433	-	8980	49	29	28	38	46	54	18	16	11	14	13	10
Amillepora06173	chr5	219608	232041	-	12434	91	59	68	91	63	77	93	108	73	81	114	92
Amillepora06180	chr5	256220	258688	-	2469	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora06177	chr5	243358	248334	-	4977	92	52	76	105	73	78	81	72	59	72	63	79
Amillepora06176	chr5	233253	241884	-	8632	35	22	19	42	30	40	29	37	27	42	24	35
Amillepora06183	chr5	287151	290624	+	3474	57	29	39	33	33	45	49	53	37	47	46	39
Amillepora06189	chr5	315330	331817	+	16488	69	47	65	70	78	76	48	44	45	28	52	44
Amillepora06192	chr5	348074	351976	+	3903	7	3	11	9	14	17	11	10	7	27	25	46
Amillepora06190	chr5	331675	341517	-	9843	77	46	48	65	41	67	33	35	31	43	54	59
Amillepora06184	chr5	290192	292656	-	2465	6	1	2	2	9	1	2	3	1	3	3	2
Amillepora06191	chr5	342160	344076	-	1917	22	14	18	10	14	27	22	18	13	13	16	14
Amillepora06186	chr5	305762	307752	-	1991	3	0	3	3	3	2	3	2	3	6	6	0
Amillepora06185	chr5	295463	299514	-	4052	1	2	1	3	2	2	3	2	1	3	3	2
Amillepora06188	chr5	311650	314866	-	3217	3	1	4	2	4	2	11	15	10	7	13	7
Amillepora06195	chr5	379514	385937	+	6424	31	32	26	35	46	42	16	16	14	16	34	15
Amillepora06198	chr5	425990	432435	+	6446	21	11	7	15	17	25	6	5	11	4	7	7
Amillepora06194	chr5	371906	379054	+	7149	89	63	93	76	95	143	58	91	66	55	77	63
Amillepora06197	chr5	419804	425584	+	5781	15	3	7	10	10	22	8	14	12	9	18	15
Amillepora06193	chr5	356815	370925	+	14111	59	42	41	45	61	58	15	16	6	23	27	26
Amillepora06196	chr5	404018	418829	+	14812	61	46	56	88	71	68	23	15	13	18	34	22
Amillepora06201	chr5	464063	464467	-	405	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora06204	chr5	482809	484638	-	1830	5	3	7	9	1	8	3	2	5	7	3	6
Amillepora06200	chr5	463525	463833	-	309	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora06202	chr5	464481	465021	-	541	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora06215	chr5	559942	566678	+	6737	8	13	15	20	22	38	13	25	19	20	25	47
Amillepora06207	chr5	515440	517107	+	1668	5	4	5	4	5	7	3	3	4	4	3	8
Amillepora06199	chr5	461424	470511	+	9088	196	110	148	144	154	229	130	141	118	116	115	98
Amillepora06208	chr5	520147	523135	+	2989	30	15	24	26	26	25	20	26	31	20	29	36
Amillepora06214	chr5	547858	550491	+	2634	85	50	69	84	69	89	73	69	45	78	58	70
Amillepora06211	chr5	541834	546918	+	5085	64	24	49	65	58	69	69	52	34	44	36	33
Amillepora06203	chr5	473640	481021	+	7382	9	12	8	16	11	27	11	17	15	15	27	21
Amillepora06209	chr5	524182	525624	-	1443	0	1	3	1	2	6	0	4	1	4	0	1
Amillepora06205	chr5	499737	511138	-	11402	26	18	23	38	30	38	26	29	24	42	30	39
Amillepora06210	chr5	530581	539626	-	9046	6	6	0	3	5	4	4	6	3	2	2	10
Amillepora06222	chr5	652528	656471	+	3944	4	5	5	10	2	5	11	5	3	5	4	3
Amillepora06216	chr5	576811	584829	+	8019	51	46	49	58	60	60	53	53	51	58	59	57
Amillepora06218	chr5	589734	593460	+	3727	7	4	8	3	12	12	5	10	11	5	7	6
Amillepora06219	chr5	594362	596092	+	1731	47	28	32	42	41	65	31	45	29	51	31	42
Amillepora06223	chr5	658753	668613	-	9861	59	38	59	47	53	61	100	105	91	80	69	78
Amillepora06221	chr5	599355	652150	-	52796	1279	833	1034	1491	1242	939	730	861	830	999	978	1045
Amillepora06226	chr5	697303	703659	+	6357	163	116	133	184	191	201	130	157	110	125	135	117
Amillepora06230	chr5	738058	764175	+	26118	70	38	48	52	65	75	41	55	36	52	57	44
Amillepora06227	chr5	706530	715910	+	9381	18	19	25	38	39	30	5	8	17	6	7	5
Amillepora06224	chr5	668681	695116	+	26436	81	62	83	85	109	113	89	127	79	105	108	94
Amillepora06234	chr5	785829	787185	-	1357	46	29	38	48	38	54	42	33	37	53	46	50
Amillepora06232	chr5	780858	782895	-	2038	6	9	14	14	21	8	26	41	36	12	22	19
